City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
4,Jamestown,US,80.24,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
7,Vila Franca Do Campo,PT,71.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
8,Aksu,CN,78.08,clear sky,41.1231,80.2644,Pudong Holiday Hotel
9,Safford,US,83.12,broken clouds,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
13,Victoria,HK,85.32,broken clouds,22.2855,114.1577,Mini Central
14,Rikitea,PF,75.02,clear sky,-23.1203,-134.9692,People ThankYou
16,Namatanai,PG,79.66,light rain,-3.6667,152.4333,Seagulls Inn Namatani
17,Torbay,CA,79.57,scattered clouds,47.6666,-52.7314,Gallows Cove
19,Kapaa,US,82.38,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
20,Pokhara,NP,72.55,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
21,Robertsport,LR,78.94,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
27,Rovaniemi,FI,72.81,clear sky,66.5,25.7167,Arctic City Hotel
28,Faya,SA,77.11,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
32,Butaritari,KI,82.67,light rain,3.0707,172.7902,Isles Sunset Lodge
34,La Union,PE,76.08,few clouds,-5.4,-80.75,Los Portales
35,Bairiki,KI,82.4,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
36,Noumea,NC,73.0,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
39,Pundaguitan,PH,81.52,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
40,Nanakuli,US,84.15,clear sky,21.3906,-158.1547,Camp Pālehua
41,Atuona,PF,77.92,few clouds,-9.8,-139.0333,Villa Enata
44,Katsuura,JP,75.92,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
45,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
55,Fortuna,US,76.91,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
57,Moerai,PF,73.35,overcast clouds,-22.4333,-151.3333,Le Manotel
59,South Sioux City,US,80.8,clear sky,42.4739,-96.4136,Hilton Garden Inn Sioux City Riverfront
66,Mabaruma,GY,78.73,broken clouds,8.2,-59.7833,Monty Brooms Guest House
68,Hilo,US,85.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
69,Kibala,TD,73.35,thunderstorm with light rain,9.1104,18.3463,Prasant Hotels
72,Pyapon,MM,79.39,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
73,Buala,SB,80.19,light rain,-8.145,159.5921,Maringe Lagoon Lodge
75,Feltre,IT,77.77,broken clouds,46.0235,11.907,Hotel Casagrande
76,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
77,Zamora,EC,79.84,light rain,-4.0692,-78.9567,Cabañas Ecológicas Copalinga
81,Kuah,MY,78.78,few clouds,6.3265,99.8432,Azio Hotel
82,High Rock,BS,84.22,light rain,26.6208,-78.2833,Hideaway Bahamas Beach Club
83,Sijunjung,ID,71.46,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
85,Samarai,PG,80.74,overcast clouds,-10.6167,150.6667,Nuli Sapi
89,Sal Rei,CV,72.84,scattered clouds,16.1833,-22.9167,Marine Club Beach Resort
90,Agboville,CI,72.84,broken clouds,5.928,-4.2132,hotel LE PRESTIGE
91,Honiara,SB,79.83,scattered clouds,-9.4333,159.95,Heritage Park Hotel
92,Pierre,US,80.85,clear sky,44.3683,-100.351,Ramkota Hotel
95,Villamontes,BO,71.92,overcast clouds,-21.25,-63.5,Hotel Raldes
99,Blitar,ID,73.06,broken clouds,-8.0983,112.1681,Hotel Tugu Sri Lestari Blitar
101,Hamilton,US,86.63,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
102,Banmankhi,IN,81.82,overcast clouds,25.8833,87.1833,AMITESH KUMAR SINGH
106,Bara,NG,73.18,moderate rain,10.3744,10.7288,
109,Sur,OM,88.56,broken clouds,22.5667,59.5289,Sur Plaza Hotel
111,Hazorasp,UZ,80.44,clear sky,41.3194,61.0742,Kemping wifi hotel
112,Mackenzie,CA,75.42,clear sky,55.2999,-123.1698,Hilton Shop
113,Makakilo City,US,80.98,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
115,Saint Anthony,US,73.18,broken clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
118,Pala,TD,77.27,light rain,9.3642,14.9046,Hotel Pala Palace
120,Mahibadhoo,MV,82.92,heavy intensity rain,3.7833,72.9667,Omadhoo Inn
122,Belle Fourche,US,74.05,clear sky,44.6714,-103.8522,Super 8 by Wyndham Belle Fourche SD
123,Carutapera,BR,76.01,overcast clouds,-1.195,-46.02,Lidera
129,Vaini,TO,73.56,few clouds,-21.2,-175.2,Keleti Beach Resort
132,Cayenne,GF,82.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
135,Waverly,US,81.95,clear sky,42.7392,-84.6208,"Crowne Plaza Lansing West, an IHG Hotel"
136,Auki,SB,78.58,scattered clouds,-8.7676,160.7034,Auki Motel
138,Sakakah,SA,83.77,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
139,Hithadhoo,MV,83.05,overcast clouds,-0.6,73.0833,Scoop Guest House
144,Alugan,PH,79.03,overcast clouds,12.2188,125.4808,JM Lodge
145,Marsa Matruh,EG,77.2,scattered clouds,31.3525,27.2453,Beau Site
147,Kavaratti,IN,82.51,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
148,Kulhudhuffushi,MV,82.44,overcast clouds,6.6221,73.07,Haajy Guest House 1
150,Morgan City,US,82.99,overcast clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
152,Bengkulu,ID,75.06,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
156,Mazamari,PE,85.6,scattered clouds,-11.3258,-74.5308,Hospedaje Ratto
158,Peace River,CA,75.51,broken clouds,56.2501,-117.286,BCMInns - Peace River
159,Kieta,PG,79.47,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
163,Ternate,ID,79.77,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
164,Touros,BR,77.79,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
168,Salalah,OM,81.54,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
169,Sibolga,ID,75.74,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
170,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
171,Powell River,CA,80.02,few clouds,49.8496,-124.5361,Rodmay Hotel
173,Ucluelet,CA,77.31,clear sky,48.9329,-125.5528,Black Rock Oceanfront Resort
174,Sao Miguel Do Araguaia,BR,80.19,clear sky,-13.275,-50.1628,Hotel Executivo Palace
175,Luganville,VU,79.99,few clouds,-15.5333,167.1667,The Espiritu Hotel
176,Aklavik,CA,77.43,overcast clouds,68.2191,-135.0107,Aklavik Inn
178,Qena,EG,86.7,clear sky,26.1615,32.7183,"Grand hotel ""Quena"""
179,Vila Velha,BR,71.55,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
182,Juneau,US,73.85,few clouds,58.3019,-134.4197,"Baranof Downtown, BW Signature Collection"
183,Houma,US,86.0,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
186,Larnaca,CY,81.21,clear sky,34.9167,33.6292,Flamingo Beach Hotel
