City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,46.51,71,40,28.77,scattered clouds
1,New Norfolk,AU,-42.7826,147.0587,38.91,87,63,1.01,broken clouds
2,Georgetown,MY,5.4112,100.3354,80.53,95,20,5.01,few clouds
3,Busselton,AU,-33.65,115.3333,60.87,83,0,10.07,clear sky
4,Jamestown,US,42.097,-79.2353,80.24,65,40,11.5,scattered clouds
5,Kharian,PK,32.8149,73.8636,92.35,21,0,4.21,clear sky
6,Tuktoyaktuk,CA,69.4541,-133.0374,66.2,48,75,14.97,broken clouds
7,Vila Franca Do Campo,PT,37.7167,-25.4333,71.2,74,91,2.39,overcast clouds
8,Aksu,CN,41.1231,80.2644,78.08,35,4,4.63,clear sky
9,Safford,US,32.834,-109.7076,83.12,57,75,10.36,broken clouds
10,Orda,RU,57.1951,56.9091,45.1,80,95,9.42,overcast clouds
11,Ribeira Grande,PT,38.5167,-28.7,68.4,73,40,6.91,scattered clouds
12,Port Elizabeth,ZA,-33.918,25.5701,51.31,99,0,4.61,clear sky
13,Victoria,HK,22.2855,114.1577,85.32,84,72,4.0,broken clouds
14,Rikitea,PF,-23.1203,-134.9692,75.02,71,4,6.6,clear sky
15,Ushuaia,AR,-54.8,-68.3,46.06,76,20,16.11,few clouds
16,Namatanai,PG,-3.6667,152.4333,79.66,81,100,9.62,light rain
17,Torbay,CA,47.6666,-52.7314,79.57,76,40,16.11,scattered clouds
18,Bredasdorp,ZA,-34.5322,20.0403,49.19,87,10,4.25,clear sky
19,Kapaa,US,22.0752,-159.319,82.38,74,20,9.22,few clouds
20,Pokhara,NP,28.2333,83.9833,72.55,90,100,1.66,overcast clouds
21,Robertsport,LR,6.7533,-11.3686,78.94,85,100,12.59,overcast clouds
22,Nanortalik,GL,60.1432,-45.2371,38.82,97,100,10.65,light rain
23,Hobart,AU,-42.8794,147.3294,39.25,86,20,8.05,few clouds
24,Albany,US,42.6001,-73.9662,91.89,45,77,7.0,broken clouds
25,Berlevag,NO,70.8578,29.0864,50.0,87,0,10.36,clear sky
26,Redwater,US,33.3582,-94.2544,102.49,26,20,7.0,few clouds
27,Rovaniemi,FI,66.5,25.7167,72.81,49,0,10.36,clear sky
28,Faya,SA,18.3851,42.4509,77.11,42,97,1.61,overcast clouds
29,Cidreira,BR,-30.1811,-50.2056,56.37,70,100,8.03,overcast clouds
